Dimension	Feature	Label
POS	Pronoun	pro
POS	Proper Name	propn
POS	Verb	v
POS	Converb	v.cvb
POS	Masdar	v.msdr
POS	Participle	v.ptcp
Person	Zero	0
Person	First	1
Person	Second	2
Person	Third	3
Person	Fourth	4
Person	Exclusive	excl
Person	Inclusive	incl
Person	Obviative	obv
Person	Proximate	prx
Polarity	Positive	pos
Polarity	Negative	neg
Politeness	Avoidance style	avoid
Politeness	Colloquial	col
Politeness	"Formal, Referent Elevating"	elev
Politeness	Formal register	foreg
Politeness	Formal	form
Politeness	High status	high
Politeness	"Formal, Speaker Humbling"	humb
Politeness	Informal	infm
Politeness	Literary	lit
Politeness	Low status	low
Politeness	Polite	pol
Politeness	"High status, elevated"	stelev
Politeness	"High status, supreme"	stsupr
Possession	Alienable	aln
Possession	Inalienable	naln
Possession	1.du	pss1d
Possession	1.du.excl	pss1de
Possession	1.du.incl	pss1di
Possession	1.pl	pss1p
Possession	1.pl.excl	pss1pe
Possession	1.pl.incl	pss1pi
Possession	1.sg	pss1s
Possession	2.du	pss2d
Possession	2.du.fem	pss2df
Possession	2.du.masc	pss2dm
Possession	2.pl	pss2p
Possession	2.pl.fem	pss2pf
Possession	2.pl.masc	pss2pm
Possession	2.sg	pss2s
Possession	2.sg.fem	pss2sf
Possession	2.sg.form	pss2sform
Possession	2.sg.infm	pss2sinfm
Possession	2.sg.masc	pss2sm
Possession	3.du	pss3d
Possession	3.du.fem	pss3df
Possession	3.du.masc	pss3dm
Possession	3.pl	pss3p
Possession	3.pl.fem	pss3pf
Possession	3.pl.masc	pss3pm
Possession	3.sg	pss3s
Possession	3.sg.fem	pss3sf
Possession	3.sg.masc	pss3sm
Possession	Possessed	pssd
Switch-Reference	SR among NPs in any argument position	cn_r_mn
Switch-Reference	DS	ds
Switch-Reference	DS Adverbial	dsadv
Switch-Reference	Logophoric	log
Switch-Reference	Open Reference	or
Switch-Reference	Sequential Multiclausal Aspect	seqma
Switch-Reference	Simultaneous Multiclausal Aspect	simma
Switch-Reference	SS	ss
Switch-Reference	SS Adverbial	ssadv
Tense	Within 1 day	1day
Tense	Future	fut
Tense	Non-Future	nfut
Tense	Hodiernal	hod
Tense	Immediate	immed
Tense	Present	prs
Tense	Present	pres
Tense	Past	pst
Tense	Recent	rct
Tense	Remote	rmt
Valency	Applicative	appl
Valency	Causative	caus
Valency	Ditransitive	ditr
Valency	Impersonal	imprs
Valency	Intransitive	intr
Valency	Reciprocal	recp
Valency	Reflexive	refl
Valency	Transitive	tr
Voice	Accompanier Focus	acfoc
Voice	Active	act
Voice	Agent Focus	agfoc
Voice	Antipassive	antip
Voice	Beneficiary Focus	bfoc
Voice	Conveyed Focus	cfoc
Voice	Direct	dir
Voice	Instrument Focus	ifoc
Voice	Inverse	inv
Voice	Location Focus	lfoc
Voice	Middle	mid
Voice	Passive	pass
Voice	Patient Focus	pfoc
